id,gender,age,marathonTime,marNum2016,marNum2015,marNum2014,marNum2013,marNum2012,otherNum2012,otherNum2013,otherNum2014,otherNum2015,otherNum2016,continue2014
0,Male,50,233.73333333333332,0,1,0,0,0,0,0,0,0,0,3
1,Male,35,197.76666666666668,0,0,0,1,0,2,2,2,3,4,4
2,Male,40,206.04166666666669,0,1,1,1,1,0,0,0,1,0,1
3,Male,15,256.0,0,1,0,0,0,0,0,0,0,0,3
4,Female,30,289.93333333333334,0,0,1,0,0,0,0,0,0,0,2
5,Male,13,0,0,0,0,0,0,0,0,0,1,0,4
6,Female,25,256.15,0,0,0,1,0,0,0,0,0,0,4
7,Male,30,257.05,0,1,0,0,0,0,0,0,1,0,3
8,Female,30,361.0,0,1,0,0,0,0,0,0,0,0,3
9,Female,35,299.18333333333334,0,1,0,0,0,0,0,0,0,0,3
10,Male,35,264.85,0,1,0,0,0,0,0,0,0,0,3
11,Male,30,202.85,0,0,0,0,1,0,1,1,1,0,4
12,Male,45,304.1333333333333,0,0,1,0,0,0,0,0,0,0,2
13,Male,50,254.85,0,0,0,1,0,0,0,0,0,0,4
14,Female,25,302.45,0,0,1,0,0,0,0,0,0,0,2
15,Male,45,202.56666666666666,0,1,0,0,0,0,0,0,0,0,3
16,Female,30,235.13333333333333,0,0,0,1,0,0,0,0,0,0,4
17,Male,35,276.23333333333335,0,0,0,0,1,1,5,2,0,0,4
18,Female,20,254.06666666666666,0,0,0,1,0,2,0,3,0,0,4
19,Female,40,0,0,0,0,0,0,0,0,0,1,0,4
20,Male,40,348.6166666666667,0,1,0,0,0,0,0,0,0,0,3
21,Male,50,272.78333333333336,0,0,0,1,0,0,0,0,0,0,4
22,Female,20,244.48333333333332,0,0,0,1,0,0,1,1,0,0,4
23,Female,30,356.8833333333333,0,0,1,0,0,0,1,1,2,0,2
24,Male,40,264.9166666666667,0,1,0,0,0,0,0,0,0,0,3
25,Female,50,289.3333333333333,0,1,0,0,0,0,0,3,1,0,3
26,Male,45,346.71666666666664,0,1,0,0,0,0,0,0,0,0,3
27,Male,45,231.4,0,1,0,0,0,0,0,0,0,0,3
28,Male,40,210.66666666666666,0,0,0,0,1,0,0,0,0,0,4
29,Male,45,268.03333333333336,0,0,1,0,0,0,0,0,0,0,2
30,Female,30,0,0,0,0,0,0,0,0,0,1,0,4
31,Male,18,212.65,0,1,0,0,0,0,0,0,0,0,3
32,Female,55,0,0,0,0,0,0,0,0,0,1,1,4
33,Male,40,391.3666666666667,0,0,1,0,0,0,0,0,0,0,2
34,Male,35,236.69166666666666,0,0,1,0,0,0,0,1,3,0,2
35,Male,40,0,0,0,0,0,0,0,0,0,1,0,4
36,Male,40,0,0,1,0,0,0,0,0,0,0,0,3
37,Male,30,286.26666666666665,0,1,0,0,0,0,0,0,0,0,3
38,Male,20,0,0,0,0,0,0,0,0,0,1,0,4
39,Female,40,344.85,0,1,0,0,0,0,0,0,0,0,3
40,Male,30,222.86666666666667,0,0,0,1,0,1,2,3,4,2,4
41,Male,30,264.8333333333333,0,0,0,0,1,0,0,0,0,0,4
42,Male,40,266.8333333333333,0,0,1,0,0,0,0,0,0,0,2
43,Male,20,225.91666666666666,0,0,1,0,0,0,1,0,0,0,2
44,Male,45,295.55,0,0,0,1,0,0,0,0,0,0,4
45,Male,45,261.55,0,1,0,0,0,0,0,0,0,0,3
46,Female,50,274.4166666666667,0,0,0,1,0,0,7,5,4,1,4
47,Female,30,258.35,0,1,0,0,0,0,0,0,0,0,3
48,Male,60,263.5,0,0,1,0,0,0,2,1,0,0,2
49,Male,40,271.06666666666666,0,1,0,0,0,0,0,0,0,0,3
50,Male,45,413.85,0,1,0,0,0,0,0,0,0,0,3
51,Female,25,319.9166666666667,0,1,0,0,0,0,0,0,0,0,3
52,Male,25,194.38333333333333,0,0,0,0,1,1,2,0,0,0,4
53,Male,30,256.93333333333334,0,0,0,1,0,2,1,2,0,1,4
54,Female,35,394.21666666666664,0,1,0,0,0,0,0,0,0,0,3
55,Female,30,410.3833333333333,0,0,1,0,0,0,0,0,0,0,2
56,Male,25,205.78333333333333,0,0,0,1,0,0,0,0,0,1,4
57,Male,30,225.91666666666666,0,1,0,0,0,0,0,0,0,0,3
58,Female,25,272.85,0,0,1,0,0,0,0,0,0,0,2
59,Male,20,250.05,0,0,1,0,0,0,0,1,0,0,2
60,Male,30,226.06666666666666,0,0,0,0,1,0,0,0,0,0,4
61,Male,25,228.10000000000002,0,0,1,1,0,1,0,0,0,0,2
62,Male,40,322.55,0,1,0,0,0,0,0,0,0,0,3
63,Female,30,290.06666666666666,0,1,0,0,0,0,0,0,0,0,3
64,Male,35,228.16666666666666,0,0,0,0,1,0,1,1,0,0,4
65,Male,40,218.73333333333332,0,0,1,0,0,0,2,2,0,0,2
66,Male,40,214.01666666666665,0,0,1,1,1,0,1,1,2,0,2
67,Female,18,232.36666666666667,0,1,0,0,0,0,0,0,0,0,3
68,Male,45,310.93333333333334,0,0,0,1,0,0,0,0,0,0,4
69,Male,30,212.91666666666666,0,0,0,0,1,0,1,0,0,0,4
70,Male,25,0,0,0,0,0,0,0,0,0,1,0,4
71,Male,40,287.6,0,1,0,0,0,0,0,0,0,0,3
72,Female,30,0,0,0,0,0,0,0,0,0,1,0,4
73,Male,40,0,0,0,0,0,0,0,0,0,1,0,4
74,Male,25,354.4166666666667,0,1,0,0,0,0,0,0,0,0,3
75,Male,30,225.55,0,1,0,0,0,0,0,0,1,0,3
