id,gender,marathonTimeAged,age,timeSqr,marathonTime,,marNum2016,marNum2015,marNum2014,marNum2013,marNum2012,otherNum2012,otherNum2013,otherNum2014,otherNum2015,otherNum2016,continue2014
0,Male,116.8666667,50,5.46312711,2.337333333,233.7333333,0,1,0,0,0,0,0,0,0,0,3
1,Male,69.21833335,35,3.911165446,1.977666667,197.7666667,0,0,0,1,0,2,2,2,3,4,4
2,Male,82.41666668,40,4.245316842,2.060416667,206.0416667,0,1,1,1,1,0,0,0,1,0,1
3,Male,38.4,15,6.5536,2.56,256,0,1,0,0,0,0,0,0,0,0,3
4,Female,86.97999999,30,8.406133776,2.899333333,289.9333333,0,0,1,0,0,0,0,0,0,0,2
5,Male,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,4
6,Female,64.0375,25,6.56128225,2.5615,256.15,0,0,0,1,0,0,0,0,0,0,4
7,Male,77.115,30,6.60747025,2.5705,257.05,0,1,0,0,0,0,0,0,1,0,3
8,Female,108.3,30,13.0321,3.61,361,0,1,0,0,0,0,0,0,0,0,3
9,Female,104.7141667,35,8.951066692,2.991833333,299.1833333,0,1,0,0,0,0,0,0,0,0,3
10,Male,92.6975,35,7.01455225,2.6485,264.85,0,1,0,0,0,0,0,0,0,0,3
11,Male,60.855,30,4.11481225,2.0285,202.85,0,0,0,0,1,0,1,1,1,0,4
12,Male,136.86,45,9.249708442,3.041333333,304.1333333,0,0,1,0,0,0,0,0,0,0,2
13,Male,127.425,50,6.49485225,2.5485,254.85,0,0,0,1,0,0,0,0,0,0,4
14,Female,75.6125,25,9.14760025,3.0245,302.45,0,0,1,0,0,0,0,0,0,0,2
15,Male,91.15500002,45,4.103325446,2.025666667,202.5666667,0,1,0,0,0,0,0,0,0,0,3
16,Female,70.53999999,30,5.528768443,2.351333333,235.1333333,0,0,0,1,0,0,0,0,0,0,4
17,Male,96.68166666,35,7.630485443,2.762333333,276.2333333,0,0,0,0,1,1,5,2,0,0,4
18,Female,50.81333334,20,6.454987113,2.540666667,254.0666667,0,0,0,1,0,2,0,3,0,0,4
19,Female,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,4
20,Male,139.4466667,40,12.15335803,3.486166667,348.6166667,0,1,0,0,0,0,0,0,0,0,3
21,Male,136.3916667,50,7.441074693,2.727833333,272.7833333,0,0,0,1,0,0,0,0,0,0,4
22,Female,48.89666666,20,5.977210026,2.444833333,244.4833333,0,0,0,1,0,0,1,1,0,0,4
23,Female,107.065,30,12.73657136,3.568833333,356.8833333,0,0,1,0,0,0,1,1,2,0,2
24,Male,105.9666667,40,7.01808403,2.649166667,264.9166667,0,1,0,0,0,0,0,0,0,0,3
25,Female,144.6666667,50,8.371377776,2.893333333,289.3333333,0,1,0,0,0,0,0,3,1,0,3
26,Male,156.0225,45,12.0212447,3.467166667,346.7166667,0,1,0,0,0,0,0,0,0,0,3
27,Male,104.13,45,5.354596,2.314,231.4,0,1,0,0,0,0,0,0,0,0,3
28,Male,84.26666668,40,4.438044446,2.106666667,210.6666667,0,0,0,0,1,0,0,0,0,0,4
29,Male,120.615,45,7.184186776,2.680333333,268.0333333,0,0,1,0,0,0,0,0,0,0,2
30,Female,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,4
31,Male,38.277,18,4.52200225,2.1265,212.65,0,1,0,0,0,0,0,0,0,0,3
32,Female,0,55,0,0,0,0,0,0,0,0,0,0,0,1,1,4
33,Male,156.5466667,40,15.31678678,3.913666667,391.3666667,0,0,1,0,0,0,0,0,0,0,2
34,Male,82.84208335,35,5.602294509,2.366916667,236.6916667,0,0,1,0,0,0,0,1,3,0,2
35,Male,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,4
36,Male,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,3
37,Male,85.88000001,30,8.194860446,2.862666667,286.2666667,0,1,0,0,0,0,0,0,0,0,3
38,Male,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,4
39,Female,137.94,40,11.89215225,3.4485,344.85,0,1,0,0,0,0,0,0,0,0,3
40,Male,66.86000001,30,4.966955113,2.228666667,222.8666667,0,0,0,1,0,1,2,3,4,2,4
41,Male,79.44999999,30,7.013669443,2.648333333,264.8333333,0,0,0,0,1,0,0,0,0,0,4
42,Male,106.7333333,40,7.120002776,2.668333333,266.8333333,0,0,1,0,0,0,0,0,0,0,2
43,Male,45.18333334,20,5.103834029,2.259166667,225.9166667,0,0,1,0,0,0,1,0,0,0,2
44,Male,132.9975,45,8.73498025,2.9555,295.55,0,0,0,1,0,0,0,0,0,0,4
45,Male,117.6975,45,6.84084025,2.6155,261.55,0,1,0,0,0,0,0,0,0,0,3
46,Female,137.2083334,50,7.530450696,2.744166667,274.4166667,0,0,0,1,0,0,7,5,4,1,4
47,Female,77.505,30,6.67447225,2.5835,258.35,0,1,0,0,0,0,0,0,0,0,3
48,Male,158.1,60,6.943225,2.635,263.5,0,0,1,0,0,0,2,1,0,0,2
49,Male,108.4266667,40,7.34771378,2.710666667,271.0666667,0,1,0,0,0,0,0,0,0,0,3
50,Male,186.2325,45,17.12718225,4.1385,413.85,0,1,0,0,0,0,0,0,0,0,3
51,Female,79.97916668,25,10.23466736,3.199166667,319.9166667,0,1,0,0,0,0,0,0,0,0,3
52,Male,48.59583333,25,3.778488026,1.943833333,194.3833333,0,0,0,0,1,1,2,0,0,0,4
53,Male,77.07999999,30,6.601473776,2.569333333,256.9333333,0,0,0,1,0,2,1,2,0,1,4
54,Female,137.9758333,35,15.54067803,3.942166667,394.2166667,0,1,0,0,0,0,0,0,0,0,3
55,Female,123.115,30,16.84144803,4.103833333,410.3833333,0,0,1,0,0,0,0,0,0,0,2
56,Male,51.44583333,25,4.234678026,2.057833333,205.7833333,0,0,0,1,0,0,0,0,0,1,4
57,Male,67.77500001,30,5.103834029,2.259166667,225.9166667,0,1,0,0,0,0,0,0,0,0,3
58,Female,68.2125,25,7.44471225,2.7285,272.85,0,0,1,0,0,0,0,0,0,0,2
59,Male,50.01,20,6.25250025,2.5005,250.05,0,0,1,0,0,0,0,1,0,0,2
60,Male,67.82000001,30,5.110613779,2.260666667,226.0666667,0,0,0,0,1,0,0,0,0,0,4
61,Male,57.025,25,5.202961,2.281,228.1,0,0,1,1,0,1,0,0,0,0,2
62,Male,129.02,40,10.40385025,3.2255,322.55,0,1,0,0,0,0,0,0,0,0,3
63,Female,87.02000001,30,8.413867113,2.900666667,290.0666667,0,1,0,0,0,0,0,0,0,0,3
64,Male,79.85833335,35,5.206002779,2.281666667,228.1666667,0,0,0,0,1,0,1,1,0,0,4
65,Male,87.49333332,40,4.78442711,2.187333333,218.7333333,0,0,1,0,0,0,2,2,0,0,2
66,Male,85.60666668,40,4.580313363,2.140166667,214.0166667,0,0,1,1,1,0,1,1,2,0,2
67,Female,41.82600001,18,5.399426779,2.323666667,232.3666667,0,1,0,0,0,0,0,0,0,0,3
68,Male,139.92,45,9.667953776,3.109333333,310.9333333,0,0,0,1,0,0,0,0,0,0,4
69,Male,63.87500001,30,4.533350696,2.129166667,212.9166667,0,0,0,0,1,0,1,0,0,0,4
70,Male,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,4
71,Male,115.04,40,8.271376,2.876,287.6,0,1,0,0,0,0,0,0,0,0,3
72,Female,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,4
73,Male,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,4
74,Male,88.60416668,25,12.56111736,3.544166667,354.4166667,0,1,0,0,0,0,0,0,0,0,3
75,Male,67.665,30,5.08728025,2.2555,225.55,0,1,0,0,0,0,0,0,1,0,3
76,Female,99.04416666,35,8.007956693,2.829833333,282.9833333,0,0,1,0,0,0,0,0,0,1,2
77,Female,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,4
78,Female,93.975,35,7.209225,2.685,268.5,0,1,0,0,0,0,0,0,0,0,3
79,Male,169.0916667,50,11.43679669,3.381833333,338.1833333,0,1,0,0,0,0,0,0,0,0,3
80,Female,229.25,50,21.022225,4.585,458.5,0,1,0,0,0,0,0,0,0,0,3
81,Male,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,2
82,Male,144.85,50,8.392609,2.897,289.7,0,0,1,0,0,0,0,0,0,0,2
83,Male,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,4
84,Female,59.28333333,25,5.623221776,2.371333333,237.1333333,0,0,0,0,1,2,1,0,0,0,4
85,Male,155.95,50,9.728161,3.119,311.9,0,0,1,0,0,0,0,1,0,0,2
86,Male,129.845,30,18.7330267,4.328166667,432.8166667,0,0,1,0,0,0,0,0,0,0,2
87,Female,0,30,0,0,0,0,0,0,0,0,0,0,0,2,0,4
88,Female,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,4
89,Male,82.71500001,30,7.60196803,2.757166667,275.7166667,0,1,0,0,0,0,0,0,0,0,3
90,Male,85.88,40,4.609609,2.147,214.7,0,1,0,0,0,0,0,0,0,0,3
91,Male,108.22,40,7.31973025,2.7055,270.55,0,0,1,0,0,0,0,0,0,0,2
92,Male,121.4625,45,7.285500696,2.699166667,269.9166667,0,0,0,1,0,0,0,3,1,0,4
93,Male,100.3833334,50,4.030725446,2.007666667,200.7666667,0,0,1,0,1,0,0,0,0,0,2
94,Female,132.1533333,40,10.91531469,3.303833333,330.3833333,0,0,1,0,0,0,0,0,0,0,2
95,Female,0,35,0,0,0,0,0,0,0,0,0,0,0,2,0,4
